index,lat,lng,Full Location,City,Zipcode
Belgrade Ave at Walworth St,42.286359933931564,-71.13679381464023,"{'house_number': '147', 'road': 'Belgrade Avenue', 'neighbourhood': 'Bellevue', 'suburb': 'Roslindale', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02131', 'country': 'United States', 'country_code': 'us'}",Boston,02131
Bellingham Square,42.393274130647555,-71.03335869334748,"{'amenity': 'Chelsea City Hall', 'house_number': '500', 'road': 'Broadway', 'neighbourhood': 'Bellingham Square', 'town': 'Chelsea', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02150', 'country': 'United States', 'country_code': 'us'}",Chelsea,02150
Bennington St at Byron St,42.383532520117896,-71.01619094610214,"{'highway': 'Bennington St @ Byron St', 'road': 'Bennington Street', 'suburb': 'East Boston', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02128', 'country': 'United States', 'country_code': 'us'}",Boston,02128
Bennington St at Constitution Beach,42.385223935870535,-71.01063068965232,"{'amenity': 'Bluebikes', 'road': 'Anthony and Dee Dee Marmo Pedestrian Overpass', 'neighbourhood': 'Orient Heights', 'suburb': 'East Boston', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02128', 'country': 'United States', 'country_code': 'us'}",Boston,02128
Berkshire Street at Cambridge Street,42.37207657915397,-71.08995433905875,"{'amenity': 'King Open/Cambridge Street Upper School & Community Complex', 'road': 'Harding Street', 'neighbourhood': 'Wellington-Harrington', 'suburb': 'East Cambridge', 'city': 'Cambridge', 'county': 'Middlesex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02141', 'country': 'United States', 'country_code': 'us'}",Cambridge,02141
Binney St / Sixth St,42.36608797388682,-71.08633603909765,"{'road': 'Binney Street', 'neighbourhood': 'Wellington-Harrington', 'suburb': 'East Cambridge', 'city': 'Cambridge', 'county': 'Middlesex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02142', 'country': 'United States', 'country_code': 'us'}",Cambridge,02142
Blue Hill Ave at Almont St,42.27463007940612,-71.09371529146685,"{'house_number': '1447', 'road': 'Blue Hill Avenue', 'suburb': 'Mattapan', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02126', 'country': 'United States', 'country_code': 'us'}",Boston,02126
Blue Hill Ave at Havelock St,42.285946581000005,-71.091060274,"{'road': 'Blue Hill Avenue', 'suburb': 'Mattapan', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02126', 'country': 'United States', 'country_code': 'us'}",Boston,02126
Boston City Hall - 28 State St,42.3590453375,-71.0577206665,"{'railway': 'State', 'road': 'Washington Street Place', 'neighbourhood': 'Dock Square', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02201', 'country': 'United States', 'country_code': 'us'}",Boston,02201
Boston College T,42.33987891612856,-71.16708934307098,"{'road': 'Commonwealth Avenue', 'suburb': 'Chestnut Hill', 'city': 'Newton', 'county': 'Middlesex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02138', 'country': 'United States', 'country_code': 'us'}",Newton,02138
Boston Convention and Exhibition Center - Summer St at West Side Dr,42.34776322707373,-71.04535998456956,"{'road': 'Haul Road', 'neighbourhood': 'Seaport', 'suburb': 'South Boston', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02210', 'country': 'United States', 'country_code': 'us'}",Boston,02210
Boston East - 126 Border St,42.373312125824704,-71.0410200806291,"{'house_number': '126', 'road': 'Border Street', 'retail': 'Central Square', 'suburb': 'East Boston', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02128', 'country': 'United States', 'country_code': 'us'}",Boston,02128
Boston Landing,42.35656092308941,-71.14167537549292,"{'office': 'New Balance Athletics', 'house_number': '100', 'road': 'Guest Street', 'commercial': 'Boston Landing/Allston Yards', 'suburb': 'Brighton', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02135', 'country': 'United States', 'country_code': 'us'}",Boston,02135
Bowdoin St at Quincy St,42.30785224238503,-71.06512248516083,"{'house_number': '302-316', 'road': 'Bowdoin Street', 'neighbourhood': 'Meeting House Hill', 'suburb': 'Dorchester', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02125', 'country': 'United States', 'country_code': 'us'}",Boston,02125
Boylston St at Arlington St,42.352808,-71.067585,"{'road': 'Charles Street', 'suburb': 'Beacon Hill', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02108', 'country': 'United States', 'country_code': 'us'}",Boston,02108
Boylston St at Berkeley St,42.3511419825475,-71.07329249382019,"{'amenity': 'Bluebikes', 'house_number': '440', 'road': 'Boylston Street', 'commercial': 'Block B', 'suburb': 'Back Bay', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02116', 'country': 'United States', 'country_code': 'us'}",Boston,02116
Boylston St at Exeter St,42.349589423682445,-71.0794677917329,"{'house_number': '33', 'road': 'Exeter Street', 'commercial': 'Newbury Street', 'suburb': 'Back Bay', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02116', 'country': 'United States', 'country_code': 'us'}",Boston,02116
