index,lat,lng,City
Centre St at W. Roxbury Post Office,42.28635411456388,-71.15345808134866,Boston
Centre St at Washington St,42.35574334805774,-71.18641942508475,Newton
Centre St. at Allandale St.,42.300806,-71.1268836054569,Boston
Charles Circle - Charles St at Cambridge St,42.36079296858265,-71.07118962337152,Boston
Charles River Greenway - California St. at Fifth Ave,42.36455361053197,-71.19100391864777,Watertown
Charles St and Beacon St,42.356052,-71.069849,Boston
Charles St at Pinckney St,42.35872530462163,-71.07079532006537,Boston
Charlestown Navy Yard,42.374124549426526,-71.05481199938367,Boston
Chelsea Square,42.39022671103383,-71.03857017704286,Chelsea
Chelsea St at Saratoga St,42.379772,-71.027448,Boston
Chelsea St at Vine St,42.403384405150064,-71.04726350324793,Everett
Chelsea Station,42.39636527849676,-71.03987179230899,Chelsea
Chestnut Hill Ave at Ledgemere Rd,42.343706,-71.167129517,Boston
Chestnut Hill Ave. at Ledgemere Road,42.343706,-71.050370455,Boston
Chestnut St at Poplar St,42.377636,-71.085954,Somerville
Child St at North St,42.37150494100319,-71.07249312120985,Cambridge
Child Street at Brian P. Murphy Staircase,42.37197678467975,-71.07200495972165,Cambridge
Chinatown Gate Plaza,42.351356,-71.059367,Boston
Chinatown T Stop,42.352409,-71.062679,Boston
Christian Science Plaza - Massachusetts Ave at Westland Ave,42.3436658245146,-71.08582377433777,Boston
Church St,42.37435056335261,-71.11967122573179,Cambridge
Circuit Drive at American Legion Hwy,42.29704126420948,-71.09171926975249,Boston
Clarendon Hill at Broadway,42.406302,-71.132446,Somerville
Clarendon St at Commonwealth Ave,42.35219035145307,-71.0760041699723,Boston
Clarendon St at Newbury St,42.35159662465317,-71.0756166279316,Boston
Cleary Sq,42.2556,-71.12444,Boston
Cleveland Circle,42.335543083570826,-71.15061519672052,Boston
Clinton St at North St,42.3607028354884,-71.05524927377701,Boston
Codman Square Library,42.2873757255,-71.0711196245,Boston
Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.34011512249236,-71.10061883926392,Boston
Columbia Rd at Ceylon St,42.309572,-71.0729,Boston
Columbia Rd at Tierney Community Center,42.33023070528729,-71.05060093123029,Boston
Columbus Ave at Massachusetts Ave,42.34054261551636,-71.08138847914233,Boston
Columbus Ave at W. Canton St,42.34474224772802,-71.07648162175792,Boston
